epoch,batch_idx,t_seconds_since_start,l_align,l_uniform,l_bce,l_total,grad_norm_E,grad_norm_p_target,grad_norm_p_context,grad_norm_link_head,E_norm_mean,E_norm_p99,E_norm_max,active_seed_count,total_seed_count,mean_walk_len_valid
1,0,0.393,0.000000,-0.000835,0.675320,0.674485,0.000460,0.001539,0.001797,0.583346,0.217037,0.251202,0.269188,0,495,0.0000
1,1,0.410,1.874397,-0.000958,0.665755,2.539194,0.030875,3.785075,4.035126,0.574903,0.208683,0.243338,0.264076,145,525,4.8483
1,2,0.427,1.542534,-0.000967,0.656084,2.197651,0.025082,3.667036,3.894940,0.567073,0.200622,0.235764,0.259946,215,460,4.6884
1,3,0.443,1.186197,-0.000970,0.645259,1.830486,0.023630,3.408226,3.599258,0.559030,0.192844,0.229375,0.255519,270,600,5.4481
1,4,0.459,0.850110,-0.000970,0.633071,1.482211,0.026971,3.011446,3.163098,0.550725,0.185346,0.224004,0.251369,250,685,5.7840
1,5,0.473,0.558836,-0.000962,0.618619,1.176493,0.021352,2.503516,2.618458,0.541722,0.178135,0.220211,0.249013,325,615,4.5323
1,6,0.486,0.327931,-0.000942,0.601691,0.928680,0.016767,1.927022,2.011957,0.532260,0.171202,0.217479,0.249457,340,615,4.8176
1,7,0.504,0.166616,-0.000931,0.581971,0.747657,0.010028,1.345548,1.408995,0.522479,0.164541,0.215833,0.251220,400,760,4.5500
1,8,0.517,0.076798,-0.000913,0.557148,0.633034,0.004310,0.872950,0.919693,0.511164,0.158137,0.214118,0.252942,415,630,5.6988
1,9,0.531,0.047846,-0.000900,0.528615,0.575561,0.005313,0.676559,0.703778,0.499056,0.151982,0.213055,0.254581,350,540,5.7400
1,10,0.551,0.057689,-0.000891,0.499320,0.556118,0.010554,0.752371,0.767686,0.485293,0.146079,0.212739,0.255780,430,690,6.0209
1,11,0.568,0.081264,-0.000884,0.464863,0.545244,0.013301,0.873731,0.890880,0.467082,0.140426,0.212230,0.256888,455,765,5.6901
1,12,0.586,0.099998,-0.000880,0.429108,0.528225,0.016452,0.935290,0.958086,0.441399,0.135015,0.212053,0.257851,375,725,5.8000
1,13,0.601,0.106059,-0.000883,0.393298,0.498474,0.014869,0.929068,0.956786,0.398528,0.129843,0.212129,0.258724,435,710,6.2621
1,14,0.620,0.100622,-0.000888,0.356440,0.456175,0.011989,0.874997,0.905456,0.335349,0.124899,0.211792,0.259078,500,685,6.4060
1,15,0.634,0.087650,-0.000918,0.329189,0.415921,0.010436,0.791077,0.822568,0.238365,0.120181,0.211619,0.259305,460,655,5.8391
1,16,0.647,0.071415,-0.000916,0.308754,0.379252,0.009139,0.692623,0.723919,0.125851,0.115682,0.211580,0.259351,390,500,7.0359
1,17,0.661,0.055650,-0.000951,0.310711,0.365411,0.006365,0.593097,0.622879,0.043453,0.111392,0.211220,0.259220,390,550,6.8744
1,18,0.683,0.042661,-0.000971,0.312614,0.354304,0.004134,0.504228,0.531775,0.118747,0.107306,0.212329,0.259067,555,780,5.8685
1,19,0.697,0.032909,-0.001043,0.323586,0.355452,0.002742,0.432041,0.456864,0.234121,0.103417,0.214063,0.258854,515,695,5.6427
1,20,0.709,0.026726,-0.001084,0.333573,0.359215,0.002031,0.383535,0.405101,0.294089,0.099719,0.214680,0.258627,420,595,6.4333
1,21,0.721,0.023262,-0.001194,0.344466,0.366535,0.001602,0.356540,0.374530,0.348204,0.096208,0.216141,0.258925,470,630,6.2979
1,22,0.739,0.021219,-0.001288,0.341327,0.361257,0.001520,0.342373,0.357055,0.339499,0.092877,0.218466,0.263997,475,605,6.1263
1,23,0.754,0.019951,-0.001410,0.337986,0.356527,0.001528,0.334388,0.346297,0.329824,0.089725,0.220717,0.268910,535,675,6.0804
1,24,0.766,0.018785,-0.001628,0.331633,0.348790,0.001775,0.325889,0.335671,0.298311,0.086749,0.223379,0.274497,440,600,6.5659
1,25,0.779,0.017446,-0.001797,0.318814,0.334463,0.001881,0.313926,0.322709,0.232046,0.083948,0.226266,0.280446,480,650,6.6604
1,26,0.794,0.015849,-0.002093,0.309689,0.323444,0.001912,0.297404,0.305561,0.166682,0.081317,0.230054,0.286892,510,665,7.1157
1,27,0.813,0.013996,-0.002448,0.306249,0.317797,0.001998,0.276836,0.284717,0.120485,0.078854,0.232211,0.294260,525,685,6.8762
1,28,0.825,0.012243,-0.002909,0.301784,0.311119,0.002232,0.254760,0.262709,0.054744,0.076559,0.235664,0.302430,445,560,6.8652
1,29,0.841,0.010671,-0.003396,0.299831,0.307106,0.002156,0.233566,0.241993,0.006854,0.074430,0.240567,0.311312,660,760,7.5091
1,30,0.859,0.009440,-0.004224,0.296717,0.301933,0.002477,0.214279,0.223567,0.051564,0.072460,0.246286,0.320731,600,800,7.0200
1,31,0.872,0.008531,-0.005458,0.303025,0.306098,0.002997,0.199197,0.209907,0.079321,0.070649,0.254547,0.330478,485,585,7.0227
1,32,0.889,0.007909,-0.006822,0.302056,0.303143,0.003413,0.187729,0.199975,0.106420,0.068991,0.263602,0.340733,655,785,6.7298
