epoch,train_time_s,eval_time_s,val_mrr,test_mrr,align_mean,unif_mean,bce_mean,E_norm_mean_end,E_norm_p99_end
1,22.289,27.033,0.067616,0.041443,0.605646,-3.674231,0.290210,0.157160,1.253133
2,18.801,26.996,0.194748,0.181836,0.609953,-6.432536,0.231265,0.186054,1.197002
3,17.556,27.015,0.246888,0.188891,0.616077,-7.058936,0.203674,0.199614,1.210385
4,16.777,27.003,0.252354,0.224020,0.580698,-7.328307,0.193730,0.206891,1.201210
5,17.441,26.948,0.284303,0.248677,0.556206,-7.437594,0.186824,0.211213,1.180203
6,18.218,26.677,0.301617,0.237299,0.540407,-7.502682,0.182245,0.214999,1.168571
7,17.350,26.559,0.301424,-1.000000,0.529823,-7.534817,0.178200,0.218722,1.138459
8,17.279,26.778,0.309450,0.263121,0.520055,-7.561771,0.173752,0.221131,1.121162
9,17.335,26.771,0.313744,0.268399,0.512885,-7.581494,0.172232,0.222503,1.094851
10,16.856,26.890,0.372771,0.321242,0.508921,-7.593022,0.170286,0.222148,1.077560
11,18.624,26.951,0.338225,-1.000000,0.503154,-7.609509,0.168677,0.223316,1.050638
12,18.130,26.777,0.331604,-1.000000,0.500341,-7.618368,0.167926,0.223012,1.029410
13,18.102,26.654,0.329264,-1.000000,0.492787,-7.626948,0.166437,0.223402,1.011659
14,18.092,26.599,0.351679,-1.000000,0.488996,-7.639727,0.165534,0.222974,0.978187
15,18.175,26.589,0.397441,0.357596,0.488085,-7.643350,0.163859,0.221677,0.963467
16,16.997,26.808,0.354315,-1.000000,0.484528,-7.647669,0.162969,0.220974,0.941574
17,17.008,26.556,0.365199,-1.000000,0.480587,-7.652831,0.161874,0.219862,0.925388
18,17.016,26.578,0.393627,-1.000000,0.477081,-7.652322,0.159906,0.219432,0.897728
19,17.024,26.653,0.349972,-1.000000,0.473685,-7.651689,0.159832,0.218276,0.883206
20,17.050,26.858,0.389253,-1.000000,0.472185,-7.661113,0.159210,0.217300,0.868447
21,17.512,26.958,0.407344,0.376524,0.468156,-7.661834,0.157608,0.216670,0.856756
22,15.141,26.696,0.362163,-1.000000,0.465508,-7.662131,0.156835,0.215259,0.848298
23,15.041,26.808,0.373161,-1.000000,0.463557,-7.663544,0.156642,0.215005,0.835941
24,15.033,26.744,0.364133,-1.000000,0.462310,-7.666688,0.155141,0.214209,0.824614
25,15.148,26.830,0.367774,-1.000000,0.457978,-7.672060,0.154678,0.213094,0.816255
26,15.159,26.463,0.400517,-1.000000,0.458889,-7.669039,0.155108,0.212933,0.809303
27,15.119,26.887,0.369783,-1.000000,0.455655,-7.672197,0.153652,0.212669,0.809231
28,15.236,26.760,0.365739,-1.000000,0.452622,-7.666892,0.152255,0.212378,0.800664
29,15.102,26.850,0.414693,0.391343,0.453123,-7.671394,0.152211,0.211456,0.787078
30,19.425,26.663,0.381331,-1.000000,0.450910,-7.673852,0.152196,0.210991,0.787705
31,17.622,26.747,0.387335,-1.000000,0.451779,-7.677169,0.152114,0.210420,0.776146
32,17.161,26.815,0.417931,0.389658,0.450898,-7.676257,0.151544,0.210186,0.767823
33,16.739,26.947,0.414411,-1.000000,0.447468,-7.678021,0.150396,0.209831,0.769296
34,16.927,27.082,0.418423,0.390509,0.449031,-7.681984,0.150529,0.209532,0.766184
